date,ID,tank,sample_type,TA,water_mass
20240815,T11_Blank,11,Blank,2002.11009,60.0094
20240815,T12_Blank,12,Blank,1987.486022,60.0048
20240831,T14_Blank,14,Blank,1942.441312,59.9483
20240831,T15_Blank,15,Blank,1940.249268,60.1472
20240831,T1_Blank_2,1,Blank,1952.84053,60.4151
20240831,T12_Blank_2,12,Blank,1972.993755,59.9242
20240831,T17_Blank,17,Blank,1943.10532,60.2135
20240831,T18_Blank,18,Blank,1946.709272,59.6466
20240901,T8_Blank,8,Blank,1954.378576,60.3878
20240901,T4_Blank,4,Blank,1936.8965,59.6747
20240901,T19_Blank,19,Blank,1917.050325,59.5599
20240901,T2_Blank,2,Blank,1959.728444,60.327
20240814,T1_blank,1,Blank,1987.80307,60.2048
20240814,T3_blank,3,Blank,1974.956885,60.2182
20241217,T9_blank,9,Blank,1936.294254,60.0261
20241217,T10_blank,10,Blank,1920.516454,59.8905
20241218,T13_blank,13,Blank,1915.816194,60.2787
20241218,T13_blank_N,13,Blank,1924.432692,60.1288
20241218,T17_blank2,17,Blank,1931.839709,59.7117
20241218,T19_blank2,19,Blank,1927.914389,59.6037
20241218,T5_blank,5,Blank,1923.772887,60.2066
20241218,T6_blank,6,Blank,1923.826394,59.8989
20241220,T8_blank2,8,Blank,1926.399572,60.0914
20241220,T4_blank2,4,Blank,1947.044945,59.8682
20241220,T7_blank2,7,Blank,1918.971125,59.6277
20241220,T2_blank2,2,Blank,1935.117956,59.9867
20240815,T11_initial_1,11,Initial,2014.330809,60.14
20240815,T11_initial_2,11,Initial,2008.36584,59.8308
20240815,T11_initial_3,11,Initial,2023.752591,60.0811
20240815,T12_initial_1,12,Initial,1981.684585,60.1121
20240815,T12_initial_2,12,Initial,1994.805682,59.9459
20240815,T12_initial_3,12,Initial,1992.849853,60.1491
20240831,T14_initial_1,14,Initial,1943.514168,60.4665
20240831,T14_initial_2,14,Initial,1948.500074,60.3893
20240831,T14_initial_3,14,Initial,1947.928371,60.0432
20240831,T15_initial_1,15,Initial,1998.530384,60.4064
20240831,T15_initial_2,15,Initial,1996.771678,60.3322
20240831,T1_initial_4,1,Initial,1929.366689,60.056
20240831,T1_initial_5,1,Initial,1911.006871,60.1125
20240831,T1_initial_6,1,Initial,1937.344558,60.2793
20240831,T12_initial_4,12,Initial,1972.976165,59.9679
20240831,T12_initial_5,12,Initial,1966.574115,60.2184
20240831,T12_initial_6,12,Initial,1946.095427,60.1778
20240831,T17_initial_1,17,Initial,1943.142083,60.4508
20240831,T17_initial_2,17,Initial,1918.838826,60.4277
20240831,T17_initial_3,17,Initial,1937.300426,60.3826
20240831,T18_initial_1,18,Initial,2011.809668,60.0424
20240831,T18_initial_3,18,Initial,2013.35881,60.1453
20240901,T8_initial_1,8,Initial,1939.538041,60.06
20240901,T8_initial_2,8,Initial,1951.442945,59.8686
20240901,T8_initial_3,8,Initial,1921.5901,59.5994
20240901,T4_initial_1,4,Initial,1919.752125,60.1038
20240901,T4_initial_2,4,Initial,1930.366055,60.4114
20240901,T4_initial_3,4,Initial,1924.799231,60.2496
20240901,T19_initial_1,19,Initial,1921.575872,59.8079
20240901,T19_initial_2,19,Initial,1927.557955,60.2752
20240901,T19_initial_3,19,Initial,1925.244853,60.1074
20240901,T2_initial_1,2,Initial,1955.087928,59.8653
20240901,T2_initial_2,2,Initial,1953.456047,59.9418
20240901,T2_initiaL_3,2,Initial,1954.503629,60.0035
20240814,T1_initial_1,1,Initial,2003.830277,60.3011
20240814,T1_initial_2,1,Initial,1980.616563,59.9294
20240814,T3_initial_1,3,Initial,2000.685964,60.148
20240814,T3_initial_2,3,Initial,1989.887556,59.986
20240814,T3_initial_3,3,Initial,2008.960219,59.7005
20241217,T9_initial_1,9,Initial,1952.542239,60.1371
20241217,T9_initial_2,9,Initial,1945.556178,59.8833
20241217,T9_initial_3,9,Initial,1932.610907,59.8684
20241217,T10_initial_1,10,Initial,1933.640027,60.2304
20241217,T10_initial_2,10,Initial,1934.399954,59.7461
20241217,T10_initial_3,10,Initial,1917.520981,59.8175
20241218,T13_initial_1,13,Initial,1921.790151,59.8366
20241218,T13_initial_2,13,Initial,1911.43857,60.3639
20241218,T13_initial_3,13,Initial,1911.363549,60.4171
20241218,T17_initial_4,17,Initial,1932.903543,60.1443
20241218,T17_initial_5,17,Initial,1927.826799,59.6525
20241218,T17_initial_6,17,Initial,1935.945186,60.3374
20241218,T19_initial_4,19,Initial,1921.863922,59.6338
20241218,T19_initial_5,19,Initial,1914.507061,60.3512
20241218,T19_initial_6,19,Initial,1934.807778,60.018
20241218,T5_initial_1,5,Initial,1926.286449,60.0501
20241218,T5_initial_2,5,Initial,1917.003644,59.8299
20241218,T5_initial_3,5,Initial,1937.59869,60.1631
20241218,T6_initial_1,6,Initial,1927.495063,59.9917
20241218,T6_initial_2,6,Initial,1923.038521,60.1705
20241218,T6_initial_3,6,Initial,1920.874848,60.4508
20241219,T10_initial_4,10,Initial,1930.816363,59.9175
20241219,T10_initial_5,10,Initial,1919.157609,59.9527
20241219,T10_initial_6,10,Initial,1907.201661,59.7967
20241220,T8_initial_4,8,Initial,1929.763254,60.0404
20241220,T8_initial_5,8,Initial,1925.106573,59.8099
20241220,T8_initial_6,8,Initial,1910.091209,60.2348
20241220,T4_initial_4,4,Initial,1940.990583,59.6441
20241220,T4_initial_5,4,Initial,1917.889199,59.8831
20241220,T4_initial_6,4,Initial,1915.383193,60.3228
20241220,T7_initial_4,7,Initial,1925.153843,60.1708
20241220,T7_initial_5,7,Initial,1924.449812,59.8222
20241220,T7_initial_6,7,Initial,1923.461517,60.171
20241220,T13_initial_4,13,Initial,1934.718768,59.7336
20241220,T13_initial_5,13,Initial,1919.743916,60.0744
20241220,T13_initial_6,13,Initial,1923.687214,60.3964
20241220,T2_initial_4,2,Initial,1948.163249,59.8592
20241220,T2_initial_5,2,Initial,1939.461828,59.6534
20241220,T2_initial_6,2,Initial,1939.315904,60.4356
20240815,32,11,,2023.357336,60.4905
20240815,11,11,,2029.164177,59.6835
20240815,45,11,,2030.172704,60.0337
20240815,50,11,,2008.851507,59.918
20240815,104,12,,2078.710711,60.2898
20240815,101,12,,2010.788689,60.2902
20240815,29,12,,2006.373376,59.9511
20240815,87,12,,2011.715883,59.8046
20240831,60,14,,2044.915645,60.0271
20240831,70,14,,1961.904459,59.7986
20240831,75,14,,2016.61542,60.3017
20240831,61,14,,2013.884834,60.1206
20240831,62,15,,1904.900838,60.1271
20240831,106,15,,1993.282102,60.2855
20240831,6,15,,1904.767093,59.783
20240831,110,15,,1959.379746,60.1747
20240831,91,15,,1900.165509,59.8385
20240831,16,1,,2000.858741,59.8691
20240831,5,12,,2012.775802,59.885
20240831,22,17,,1968.10719,59.7127
20240831,77,17,,1896.336329,60.0413
20240831,82,17,,1979.358415,60.0793
20240831,73,17,,1914.838594,59.8666
20240831,102,18,,1943.682437,60.3299
20240831,37,18,,2012.659767,59.7119
20240831,65,18,,1943.187723,59.8749
20240831,39,18,,1952.28294,59.9967
20240831,107,18,,1947.030024,59.7108
20240901,4,8,,1923.847515,59.8174
20240901,58,8,,1925.48725,59.7046
20240901,85,8,,1915.449606,59.5919
20240901,94,8,,1923.80524,59.7591
20240901,58,4,,1930.584236,60.1859
20240901,67,4,,1936.99118,59.6523
20240901,98,4,,1929.627451,60.0299
20240901,14,4,,1946.034295,59.9602
20240901,10,19,,1934.00992,60.4293
20240901,20,19,,1921.595578,59.8575
20240901,48,19,,1933.886261,60.2208
20240901,96,19,,1913.773785,60.4298
20240901,34,2,,1928.792493,59.7742
20240901,46,2,,1947.519033,60.3977
20240901,68,2,,1924.633508,59.8791
20240901,74,2,,1921.316552,59.8725
20240814,100,1,,2012.418852,59.9884
20240814,109,1,,2015.167616,60.1353
20240814,66,1,,2014.047539,59.8804
20240814,93,1,,2026.002226,60.404
20240814,81,3,,1984.944396,59.8129
20240814,88,3,,2006.228086,60.2901
20240814,47,3,,2004.744361,59.7652
20240814,80,3,,2001.742129,59.9893
20241217,111,9,,1908.588267,60.1136
20241217,42,9,,1927.752048,59.7779
20241217,17,9,,1992.518692,59.719
20241217,57,9,,1930.104782,59.9703
20241217,43,9,,1956.905901,60.0499
20241217,T10_blank_N,10,Blank,1919.95852,60.0756
20241217,89,10,,1905.881512,60.3234
20241217,78,10,,1891.169977,60.2747
20241217,97,10,,1919.177334,60.1997
20241217,36,10,,1906.606615,60.1283
20241217,76,10,,1888.123027,60.098
20241217,T7_initial_1,7,Initial,1924.328392,59.9807
20241217,T7_initial_2,7,Initial,1926.345571,60.3864
20241217,T7_initial_3,7,Initial,1930.939901,60.3431
20241217,T7_blank,7,Blank,1927.534868,60.4129
20241217,8,7,,1910.033823,59.6811
20241217,63,7,,1856.931442,60.2901
20241217,9,7,,1821.401799,59.9294
20241217,108,7,,1902.074926,60.2282
20241217,92,7,,1857.354845,60.41
20241218,53,13,,1929.813735,59.7525
20241218,25,13,,1897.583252,60.0542
20241218,200,13,,1994.129604,60.3482
20241218,40,13,,1904.451687,60.0535
20241218,51,13,,1915.249145,59.6631
20241218,7,13,,1897.76286,59.9281
20241218,27,17,,1996.337749,59.8278
20241218,105,19,,1992.202904,60.0099
20241218,86,5,,1888.418427,60.2332
20241218,12,5,,1891.295368,60.0364
20241218,21,5,,1895.460212,60.0469
20241218,71,5,,1899.513414,60.0607
20241218,26,5,,1905.643998,59.9588
20241218,49,6,,1884.508777,60.0976
20241218,54,6,,1911.982759,60.2155
20241218,79,6,,1916.227046,60.439
20241218,24,6,,1892.106721,60.0346
20241220,28,8,,1996.135508,59.641
20241220,2,4,,1974.890475,59.6775
20241220,35,2,,1998.093394,60.4738
