transect,meter,species,density,percent,shell_length,shell_width
1,0,mussel,30,5,29,
1,0,mussel,30,5,40,
1,0,mussel,30,5,27,
1,9,mussel,51,9,29,
1,9,mussel,51,9,24,
1,9,mussel,51,9,36,
1,8,mussel,47,11,34,
1,8,mussel,47,11,28,
1,8,mussel,47,11,16,
1,7,mussel,99,20,39,
1,7,mussel,99,20,27,
1,7,mussel,99,20,35,
1,6,mussel,100,18,25,
1,6,mussel,100,18,22,
1,6,mussel,100,18,32,
1,5,mussel,112,13,19,
1,5,mussel,112,13,20,
1,5,mussel,112,13,27,
1,4,mussel,160,19,36,
1,4,mussel,160,19,20,
1,4,mussel,160,19,37,
1,3,mussel,161,9,25.6,
1,3,mussel,161,9,20.1,
1,3,mussel,161,9,22.5,
1,2,mussel,115,7,22.1,
1,2,mussel,115,7,21.8,
1,2,mussel,115,7,15.5,
1,1,mussel,112,7,18.8,
1,1,mussel,112,7,14.9,
1,1,mussel,112,7,17.6,
1,9,whelk,2,,21.5,13.7
1,9,whelk,2,,16.3,11.5
1,8,whelk,1,,15.7,9.8
3,1,mussel,112,15,23,
3,1,mussel,112,15,49,
3,1,mussel,112,15,33,
3,2,mussel,95,10,22,
3,2,mussel,95,10,23,
3,2,mussel,95,10,28,
3,3,mussel,130,16,26,
3,3,mussel,130,16,24,
3,3,mussel,130,16,38,
3,4,mussel,103,19,27,
3,4,mussel,103,19,34,
3,4,mussel,103,19,28,
3,5,mussel,70,20,53,
3,5,mussel,70,20,26,
3,5,mussel,70,20,35,
3,6,mussel,102,22,42,
3,6,mussel,102,22,41,
3,6,mussel,102,22,42,
3,7,mussel,43,12,48,
3,7,mussel,43,12,25,
3,7,mussel,43,12,36,
3,8,mussel,74,17,45,
3,8,mussel,74,17,34,
3,8,mussel,74,17,37,
3,9,mussel,108,17,48,
3,9,mussel,108,17,28,
3,9,mussel,108,17,43,
3,10,mussel,103,60,45,
3,10,mussel,103,60,29,
3,10,mussel,103,60,40,
3,4,whelk,1,,26.4,15.7
3,6,whelk,3,,24.5,16.2
3,6,whelk,3,,11.3,9.8
3,6,whelk,3,,17.1,9.8
3,7,whelk,1,,12.9,8.6
3,8,whelk,4,,20,14.6
3,8,whelk,4,,21,14.8
3,8,whelk,4,,23.7,16.2
3,8,whelk,4,,19.3,13.8
3,9,whelk,2,,21.5,13.3
3,9,whelk,2,,8.2,8.3
3,9,whelk,2,,19.2,13.6
2,10,mussel,95,81,9.3,
2,10,mussel,95,81,1.925,
2,10,mussel,95,81,35,
2,9,mussel,98,14,24.2,
2,9,mussel,98,14,38,
2,9,mussel,98,14,46.4,
2,8,mussel,83,8,32.3,
2,8,mussel,83,8,36.6,
2,8,mussel,83,8,24.3,
2,7,mussel,106,11,33.1,
2,7,mussel,106,11,28.9,
2,7,mussel,106,11,22,
2,6,mussel,90,10,27.5,
2,6,mussel,90,10,45.6,
2,6,mussel,90,10,24,
2,5,mussel,82,12,20.2,
2,5,mussel,82,12,38.6,
2,5,mussel,82,12,33.9,
2,4,mussel,55,3,24.9,
2,4,mussel,55,3,45,
2,4,mussel,55,3,45.5,
2,3,mussel,63,10,18.9,
2,3,mussel,63,10,42.1,
2,3,mussel,63,10,37.6,
2,2,mussel,51,5,31.8,
2,2,mussel,51,5,26.2,
2,2,mussel,51,5,26.7,
2,1,mussel,40,6,26.8,
2,1,mussel,40,6,19.4,
2,1,mussel,40,6,39.4,
2,10,whelk,7,,9,6.1
2,10,whelk,7,,12.3,8
2,10,whelk,7,,18.2,11.3
2,10,whelk,7,,13,8.9
2,10,whelk,7,,9.3,6.6
2,10,whelk,7,,7.1,4.3
2,9,whelk,3,,10.5,7.1
2,8,whelk,6,,13.4,9.7
2,8,whelk,6,,12.1,7.7
2,8,whelk,6,,12.7,7.7
2,7,whelk,3,,12.9,7.7
2,7,whelk,3,,8.7,5.9
2,6,whelk,8,,13.7,8.8
2,6,whelk,8,,25,16.8
2,6,whelk,8,,15,10.1
2,5,whelk,4,,15.1,9.1
2,4,whelk,2,,,
2,3,whelk,1,,10.5,7
2,2,whelk,4,,17.1,10.4
2,2,whelk,4,,10.9,17.1
